JPS_ID	作品名	作品名かな	作品名_重複	作品名かな_重複
89036	石鏃	せきぞく	1164	1163
98657	石鏃	せきせい	1164	3
101263	石鏃	いしやじり	1164	1
4560	山水図	サンスイズ	241	242
4617	山水図	サイスイズ	241	1
88673	滑石製刀子	かっせきせいとうす	233	233
5479	壺形土器	ツボガタドキ	174	183
394	深鉢形土器	フカバチガタドキ	144	144
88630	石製刀子	せきせいとうす	144	144
88398	管玉	くだたま	132	131
163155	管玉	くだだま	132	1
12642	壺	つぼ	122	103
16253	壺	こ	122	34
100836	石匙	せきぞく	120	1163
89410	石匙	いしさじ	120	117
105547	石匙	いしべら	120	30
102609	石匙	いしざし	120	1
71263	経筒	きょうづつ	117	117
71918	経筒	どうせいきょうづつ	117	19
89683	土器残片	どきざんぺん	115	115
96540	土器残片	どきはへん	115	1
399	磨製石斧	マセイセキフ	111	111
12043	書状	しょじょう	109	110
88898	鉄斧	てっぷ	105	105
89664	鉢形土器	はちがたどき	102	101
101177	鉢形土器	だいつきはちがたどき	102	21
88781	鉄刀子	てつとうす	92	92
108	石釧	イシクシロ	89	89
401	打製石斧	ダセイセキフ	88	88
79223	高坏	たかつき	80	151
38244	風景	ふうけい	74	81
109274	高杯	たかつき	71	151
71808	鉄鏃	てつぞく	68	69
88523	硬玉勾玉	こうぎょくまがたま	63	63
88396	碧玉管玉	へきぎょくくだたま	63	63
74737	太刀	たち	62	60
89487	磨製石斧残欠	ませいせきふざんけつ	57	57
567	注口土器	チュウコウドキ	57	56
159539	注口土器	ちゅこうどき	57	1
88332	蓋坏	ふたつき	55	59
593	海獣葡萄鏡	カイジュウブドウキョウ	53	53
753	鉄刀	テットウ	52	53
16146	鼎	てい	52	51
71116	鼎	かなえ	52	1
88343	坏身	つきみ	51	52
110942	鬼瓦	おにがわら	50	48
114049	鬼瓦	おにかわら	50	2
150551	蓮花文軒丸瓦	れんげもんのきまるがわら	48	66
79785	土人形	つちにんぎょう	48	48
3760	七言絶句	シチゴンゼック	47	48
159935	裸体習作	らたいしゅうさく	47	46
89426	石錐	いしきり	47	40
768	石錐	セキスイ	47	23
160051	裸体習作	らたいしゅうさく（ぼうをもつおとこ） 1887年6月29日	47	1
88475	勾玉	まがたま	46	47
336	石棒	セキボウ	46	46
88457	ガラス小玉	がらすこだま	46	44
114688	ガラス小玉	こだま	46	9
107759	勾玉	またがま	46	1
47	刀	カタナ	43	43
12091	如来坐像	にょらいざぞう	43	43
88243	提瓶	ていへい	43	42
95491	提瓶	さげべ	43	2
507	爵	シャク	42	46
88495	瑪瑙勾玉	めのうまがたま	42	42
