作品名,作品名かな_音読み,作品名かな_訓読み,備考
石鏃,せきぞく,いしやじり,
鹿角製鏃,ろっかくせいぞく,ろっかくせいやじり,
石錐,せきすい,いしきり,
石斧,せきふ,いしおの,
石槍,せきそう,いしやり,
提瓶,ていへい,さげべ,
平瓶,ひらべ,ひらか,へいへい　という読みもあり
水瓶,すいびょう,みずがめ,
壺,こ,つぼ,
須恵器 短頸壺,すえき たんけいこ,すえき たんけいつぼ,
鼎,てい,かなえ,
坏,はい,つき,
竹石図,ちくせきず,たけいしず,
盃台,はいだい,さかずきだい,
松鶴鏡,しょうかくきょう,まつつるきょう,
草花双鳥鏡,そうかそうちょうきょう,くさばなそうちょうきょう,
心葉形杏葉,しんようけいぎょうよう,しんようがたぎょうよう,
団扇,だんせん,うちわ,
ガラス塊,がらすかい,がらすかたまり,
琴柱形石製品,きんちゅうがたせきせいひん,ことじがたせきせいひん,
蓬莱柄鏡,ほうらいえきょう,ほうらいえかがみ,
素文懸鏡,そもんかけきょう,そもんかけかがみ,
中細形銅戈,ちゅうぼそがたどうか,なかぼそがたどうか,
中細形銅剣,ちゅうぼそがたどうけん,なかぼそがたどうけん,
緑色ターラー菩薩坐像,りょくしょくたーらーぼさつざぞう,みどりいろたーらーぼさつざぞう,
白色ターラー菩薩坐像,はくしょくたーらーぼさつざぞう,しろいろたーらーぼさつざぞう,
須恵器 脚付長頸壺,すえききゃくつきちょうけいこ,すえき きゃくつきちょうけいつぼ,
鎮子,ちんす,ちんし,
斧,ふ,おの,
灰釉茶碗,かいゆうちゃわん,はいゆうちゃわん,
剣菱形杏葉,けんびしけいぎょうよう,けんびしがたぎょうよう,
秋草蝶鳥鏡,あきくさちょうちょうきょう,あきくさちょうとりきょう,
切断痕のある鹿角片,せつだんこんのあるろっかくへん,せつだんあとのあるろっかくへん,
牙製錐,がせいすい,がせいきり,
